"run","mult","harvest","force","idx"
"base",0,"GOA_harvest_f35_1.prm","GOA_force.prm",1
"base",0.4,"GOA_harvest_f35_2.prm","GOA_force.prm",2
"base",0.8,"GOA_harvest_f35_3.prm","GOA_force.prm",3
"base",1.2,"GOA_harvest_f35_4.prm","GOA_force.prm",4
"base",1.6,"GOA_harvest_f35_5.prm","GOA_force.prm",5
"base",2,"GOA_harvest_f35_6.prm","GOA_force.prm",6
"base",2.4,"GOA_harvest_f35_7.prm","GOA_force.prm",7
"base",2.8,"GOA_harvest_f35_8.prm","GOA_force.prm",8
"base",3.2,"GOA_harvest_f35_9.prm","GOA_force.prm",9
"base",3.6,"GOA_harvest_f35_10.prm","GOA_force.prm",10
"base",4,"GOA_harvest_f35_11.prm","GOA_force.prm",11
"atf",0,"GOA_harvest_f35_1_ATF.prm","GOA_force.prm",12
"atf",0.4,"GOA_harvest_f35_2_ATF.prm","GOA_force.prm",13
"atf",0.8,"GOA_harvest_f35_3_ATF.prm","GOA_force.prm",14
"atf",1.2,"GOA_harvest_f35_4_ATF.prm","GOA_force.prm",15
"atf",1.6,"GOA_harvest_f35_5_ATF.prm","GOA_force.prm",16
"atf",2,"GOA_harvest_f35_6_ATF.prm","GOA_force.prm",17
"atf",2.4,"GOA_harvest_f35_7_ATF.prm","GOA_force.prm",18
"atf",2.8,"GOA_harvest_f35_8_ATF.prm","GOA_force.prm",19
"atf",3.2,"GOA_harvest_f35_9_ATF.prm","GOA_force.prm",20
"atf",3.6,"GOA_harvest_f35_10_ATF.prm","GOA_force.prm",21
"atf",4,"GOA_harvest_f35_11_ATF.prm","GOA_force.prm",22
"climate",0,"GOA_harvest_f35_1.prm","GOA_force_warm.prm",23
"climate",0.4,"GOA_harvest_f35_2.prm","GOA_force_warm.prm",24
"climate",0.8,"GOA_harvest_f35_3.prm","GOA_force_warm.prm",25
"climate",1.2,"GOA_harvest_f35_4.prm","GOA_force_warm.prm",26
"climate",1.6,"GOA_harvest_f35_5.prm","GOA_force_warm.prm",27
"climate",2,"GOA_harvest_f35_6.prm","GOA_force_warm.prm",28
"climate",2.4,"GOA_harvest_f35_7.prm","GOA_force_warm.prm",29
"climate",2.8,"GOA_harvest_f35_8.prm","GOA_force_warm.prm",30
"climate",3.2,"GOA_harvest_f35_9.prm","GOA_force_warm.prm",31
"climate",3.6,"GOA_harvest_f35_10.prm","GOA_force_warm.prm",32
"climate",4,"GOA_harvest_f35_11.prm","GOA_force_warm.prm",33
"atf_climate",0,"GOA_harvest_f35_1_ATF.prm","GOA_force_warm.prm",34
"atf_climate",0.4,"GOA_harvest_f35_2_ATF.prm","GOA_force_warm.prm",35
"atf_climate",0.8,"GOA_harvest_f35_3_ATF.prm","GOA_force_warm.prm",36
"atf_climate",1.2,"GOA_harvest_f35_4_ATF.prm","GOA_force_warm.prm",37
"atf_climate",1.6,"GOA_harvest_f35_5_ATF.prm","GOA_force_warm.prm",38
"atf_climate",2,"GOA_harvest_f35_6_ATF.prm","GOA_force_warm.prm",39
"atf_climate",2.4,"GOA_harvest_f35_7_ATF.prm","GOA_force_warm.prm",40
"atf_climate",2.8,"GOA_harvest_f35_8_ATF.prm","GOA_force_warm.prm",41
"atf_climate",3.2,"GOA_harvest_f35_9_ATF.prm","GOA_force_warm.prm",42
"atf_climate",3.6,"GOA_harvest_f35_10_ATF.prm","GOA_force_warm.prm",43
"atf_climate",4,"GOA_harvest_f35_11_ATF.prm","GOA_force_warm.prm",44
